,Timestamp,Age,Gender,City,Position,YOE,Level,Salary,SOYA,Language
0,14/12/2018 12:41:33,43.0,Male,München,QA Ingenieur,11.0,Senior,77000.0,76200.0,Deutsch
1,14/12/2018 12:42:09,33.0,Female,München,Senior PHP Magento developer ,8.0,Senior,65000.0,55000.0,Deutsch
2,14/12/2018 12:47:36,32.0,Male,München,Software Engineer,10.0,Senior,88000.0,73000.0,Deutsch
3,14/12/2018 12:50:15,25.0,Male,München,Senior Frontend Developer,6.0,Senior,78000.0,55000.0,English
4,14/12/2018 12:50:31,39.0,Male,München,UX Designer,10.0,Senior,69000.0,60000.0,English
5,14/12/2018 12:52:24,37.0,Male,München,Project Manager,8.0,Senior,98000.0,96000.0,Deutsch
7,14/12/2018 12:53:47,36.0,Female,München,Data science team lead,8.0,Senior,109000.0,105000.0,English
8,14/12/2018 12:54:20,32.0,Male,Berlin,Test Automation Engineer,3.0,Senior,65000.0,58000.0,English
9,14/12/2018 12:55:44,30.0,Male,München,Frontend Developer,8.0,Senior,60000.0,48000.0,Deutsch
10,14/12/2018 12:56:28,40.0,Male,Berlin,Software Engineer,18.0,Senior,70000.0,57500.0,English
11,14/12/2018 12:56:31,33.0,Male,Karlsruhe,Senior Full-stack .Net Developer,8.0,Senior,70000.0,66000.0,English
13,14/12/2018 13:00:13,29.0,Male,Berlin,Front-end engineer,6.0,Middle,55000.0,55000.0,English
14,14/12/2018 13:03:34,32.0,Male,München,Software Developer,11.0,Middle,94500.0,91300.0,Russian
15,14/12/2018 13:06:18,25.0,Female,München,QA Test Engineer,3.0,Junior,46000.0,44000.0,English
16,14/12/2018 13:07:09,33.0,Male,München,QA Manager,11.0,Senior,68000.0,65000.0,Deutsch
17,14/12/2018 13:10:26,24.0,Male,Hamburg,Software Engineer,4.0,Middle,60000.0,47000.0,English
18,14/12/2018 13:16:09,44.0,Male,Berlin,Frontend Developer,17.0,Senior,62500.0,62500.0,Deutsch
19,14/12/2018 13:20:36,37.0,Male,Berlin,CTO,19.0,Senior,80000.0,70000.0,English
20,14/12/2018 13:25:17,29.0,Male,München,Cloud Consulting,10.0,Senior,132250.0,92600.0,English
21,14/12/2018 13:25:49,34.0,Female,Berlin,QA,10.0,Senior,53000.0,53000.0,English
22,14/12/2018 13:25:58,28.0,Male,München,Frontend Engineer,5.0,Middle,52000.0,40000.0,English
23,14/12/2018 13:28:36,35.0,Male,Berlin,Head of IT,10.0,Senior,95000.0,95000.0,English
24,14/12/2018 13:29:27,32.0,Male,München,Senior Software Engineer,4.0,Senior,72000.0,60000.0,English
25,14/12/2018 13:29:56,40.0,Female,München,Operations manager,15.0,Middle,55000.0,55000.0,English
26,14/12/2018 13:32:27,39.0,Male,München,Frontend Developer,15.0,Senior,77000.0,74000.0,English
27,14/12/2018 13:32:43,38.0,Male,München,Product Manager,12.0,Senior,72000.0,72000.0,English
30,14/12/2018 13:39:08,39.0,Male,Berlin,Senior DevOps,10.0,Middle,75800.0,66000.0,Deutsch
31,14/12/2018 13:40:40,35.0,Female,München,Software Engineer,12.0,Senior,84000.0,84000.0,English
32,14/12/2018 13:43:36,32.0,Male,München,C# Developer,10.0,Senior,60000.0,60000.0,English
33,14/12/2018 13:43:50,27.0,Male,Augsburg ,ERP/BI Specialist,4.0,Middle,57000.0,52000.0,Deutsch
36,14/12/2018 13:44:09,31.0,Male,München,Senior Software Developer,10.0,Senior,70000.0,60000.0,English
37,14/12/2018 13:44:09,32.0,Male,München,C++ developer,10.0,Senior,72000.0,56000.0,English
38,14/12/2018 13:44:38,35.0,Male,München,Project Manager,5.0,Middle,75000.0,70000.0,English
39,14/12/2018 13:44:52,33.0,Male,München,PM,9.0,Middle,90000.0,100000.0,Deutsch
41,14/12/2018 13:44:55,41.0,Male,München,Software Architect,20.0,Senior,113000.0,80000.0,Deutsch
43,14/12/2018 13:45:55,30.0,Male,München,Embedded Software Engineer,7.0,Middle,75000.0,72000.0,English
44,14/12/2018 13:46:20,24.0,Female,München,iOS developer,3.0,Middle,57000.0,45000.0,Russian
45,14/12/2018 13:46:29,43.0,Male,Berlin,Data Engineer,10.0,Senior,84000.0,78000.0,English
46,14/12/2018 13:46:46,28.0,Male,München,iOS Developer,6.0,Senior,70000.0,45000.0,English
48,14/12/2018 13:47:09,32.0,Male,München,PHP Developer,6.0,Senior,60000.0,57000.0,English
49,14/12/2018 13:47:36,31.0,Male,Frankfurt,Ruby developer,11.0,Senior,65000.0,61000.0,English
52,14/12/2018 13:52:38,28.0,Male,München,Java Fullstack Developer,7.5,Middle,65000.0,65000.0,Deutsch
53,14/12/2018 13:54:01,32.0,Male,München,Senior Software Developer,10.0,Senior,78000.0,65000.0,English
55,14/12/2018 13:54:24,34.0,Male,Hamburg,Scala Developer,10.0,Senior,71000.0,68000.0,English
56,14/12/2018 13:54:51,29.0,Male,München,DevOps,9.0,Senior,75000.0,58000.0,Deutsch
